Station ID	Lat	Long	No. Annual Series	Zero-1;NonZero-2	FreqZero	Regional Skew	Cont-1;PR-2	A	Slope	P1006	C	Sand	Long	OutletElev	E
07126500	37.714735	-103.511054	88	2	0	-0.1	1	2875	8.930	3.77	25.214	26.696	103.511054	4241	6266
07133200	37.724176	-102.740475	11	2	0	-0.1	1	2.4	5.052	4.82	22.534	22.901	102.740475	4285	4426
07134100	38.114176	-102.483802	34	2	0	-0.097	1	3216	2.573	4.33	21.382	42.863	102.483802	3545	4873
07134990	38.057028	-102.138472	18	2	0	-0.098	1	175	1.625	4.58	23.943	12.756	102.138472	3405	3793
07135000	38.027789	-102.139074	10	2	0	-0.099	1	817	3.568	4.87	21.629	26.986	102.139074	3415	4532
07138600	38.525016	-101.621557	39	2	0	-0.082	1	25.2	1.155	4.45	26.013	7.764	101.621557	3510	3605
07138650	38.481128	-101.488220	20	2	0	-0.083	1	500.3	1.360	4.50	24.141	9.965	101.488220	3320	3822
07138800	38.480020	-101.062931	21	2	0	-0.081	1	7	0.479	4.55	26.500	8.414	101.062931	3080	3153
07140600	38.061686	-100.350420	33	2	0	-0.098	1	6.89	1.141	5.01	33.710	6.905	100.350420	2650	2730
07141400	38.482794	-100.415416	21	2	0	-0.084	1	0.81	1.571	5.10	28.572	10.047	100.415416	2700	2743
07153500	36.987520	-103.424110	33	2	0	-0.1	1	500	13.477	4.10	21.689	33.300	103.424110	4900	6250
07154400	36.883333	-103.018333	61	2	0	-0.1	1	112.2	11.775	4.44	20.156	34.367	103.018333	4380	5087
07154500	36.926687	-102.959095	63	2	0	-0.1	1	1208	13.165	4.29	21.023	33.787	102.959095	4262	5681
07154650	36.897799	-102.901593	22	2	0	-0.1	1	24.9	12.310	5.07	16.656	36.111	102.901593	4250	4556
07155100	36.772245	-102.804921	18	2	0	-0.1	1	10.6	1.856	4.99	28.721	29.936	102.804921	4450	4622
07155590	37.121967	-101.897946	41	2	0	-0.1	1	2926.6	5.381	4.65	19.644	38.454	101.897946	3377	4929
07155900	37.190856	-101.898780	33	2	0	-0.1	1	57.1	0.578	4.59	26.675	11.603	101.898780	3490	3677
07156000	37.310022	-101.772112	21	2	0	-0.1	1	103	0.807	4.58	24.914	14.558	101.772112	3350	3588
07156010	37.258357	-101.775444	15	2	0	-0.1	1	411.3	0.909	4.78	21.384	32.107	101.775444	3344	3932
07156100	37.500018	-101.761560	15	2	0	-0.1	1	584.2	1.569	5.02	19.712	39.861	101.761560	3328	4446
07156220	37.626404	-101.761561	32	2	0	-0.1	1	813.3	1.511	4.88	27.048	16.366	101.761561	3292	4151
07156600	37.335302	-101.050443	33	2	0	-0.1	1	21.5	1.710	4.68	23.773	17.763	101.050443	2830	2983
07156700	37.270856	-100.927107	49	2	0	-0.102	1	2.41	1.920	4.97	22.023	33.715	100.927107	2740	2849
07157100	37.565301	-100.554598	33	2	0	-0.106	1	44	1.141	4.97	29.629	9.052	100.554598	2695	2818
07157400	37.296413	-100.339868	33	2	0	-0.114	1	6.57	4.124	5.48	30.270	11.332	100.339868	2450	2620
07157500	37.032528	-100.211253	36	2	0	-0.123	1	1157	2.078	5.36	28.356	16.822	100.211253	2164	2659
07157550	36.875030	-100.122638	22	2	0	-0.126	1	4.44	6.266	5.60	20.182	39.584	100.122638	2280	2418
07225300	35.141944	-103.792778	40	2	0	-0.086	1	15.2	6.122	4.41	21.642	42.064	103.792778	4100	4303
07225500	36.325863	-103.925524	12	2	0	-0.1	1	268.7	6.159	4.07	26.498	27.926	103.925524	5800	6532
07226200	35.979722	-103.685556	34	2	0	-0.1	1	34	11.136	4.27	26.727	32.954	103.685556	4540	5088
07226500	35.438528	-103.525794	72	2	0	-0.094	1	2060	5.336	4.17	24.140	39.343	103.525794	3820	5298
07227100	35.344386	-103.389606	54	2	0	-0.095	1	786	5.517	4.52	25.685	37.346	103.389606	3660	4283
07227150	35.058950	-103.102169	23	2	0	-0.098	1	25	5.923	4.82	30.396	28.803	103.102169	3920	4158
07227200	36.070833	-103.203333	47	2	0	-0.1	1	556	5.933	4.41	25.950	30.810	103.203333	4481	5115
07227295	36.388917	-103.318555	43	2	0	-0.1	1	1.2	2.008	4.55	25.577	43.700	103.318555	5110	5182
07227300	36.342222	-103.184167	18	2	0	-0.1	1	42	2.362	4.53	27.823	32.684	103.184167	4800	5189
07227920	35.664765	-101.350997	15	2	0	-0.109	1	134	5.673	4.90	26.247	33.765	101.350997	2836	3282
07232500	36.721415	-101.489605	57	2	0	-0.101	1	2033	2.881	4.57	26.849	31.397	101.489605	2971	4465
07232550	36.668360	-101.498772	22	2	0	-0.102	1	0.26	0.675	4.70	38.546	15.582	101.498772	3120	3131
07232650	36.556414	-102.786585	12	2	0	-0.1	1	33.9	1.092	4.86	29.673	28.221	102.786585	4410	4597
07232900	36.571971	-101.381549	30	2	0	-0.103	1	1903	1.519	4.78	29.890	27.850	101.381549	2871	3744
07233500	36.202255	-101.305993	49	2	0	-0.106	1	624.68	1.110	4.75	35.430	18.594	101.305993	2962	3541
07233850	36.863915	-100.912940	12	2	0	-0.104	1	1	0.405	5.36	24.026	33.855	100.912940	2760	2772
07234050	36.616972	-100.664317	22	2	0	-0.113	1	4.3	1.964	5.19	30.910	12.310	100.664317	2770	2842
07234100	36.645028	-100.502369	24	2	0	-0.117	1	170	2.551	5.17	32.173	16.427	100.502369	2541	2826
07301410	35.473104	-100.120950	52	2	0	-0.137	1	297	3.419	5.33	18.637	52.639	100.120950	2230	2638
